"","intensity","Subbel","ABtest","MaxP","Sobel","Subbel.1","ABtest.1","MaxP.1","Sobel.1"
"1",0.1,0.11,0.432,0.072,0.016,0.0139928553197694,0.0221529230576915,0.0115599307956406,0.00561141693336006
"2",0.2,0.314,0.794,0.266,0.204,0.0207559148196364,0.0180866801818355,0.0197607692157972,0.0180213207063189
"3",0.3,0.636,0.622,0.56,0.534,0.021517620686312,0.0216848334095515,0.0221990990808186,0.0223089219820232
"4",0.4,0.824,0.754,0.8,0.792,0.017030795636141,0.0192605295877346,0.0178885438199983,0.0181513635851415
"5",0.5,0.922,0.884,0.902,0.894,0.0119929979571415,0.0143208938268531,0.0132963152790538,0.0137669168661687
