"","intensity","Subbel","ABtest","MaxP","Sobel","Subbel.1","ABtest.1","MaxP.1","Sobel.1"
"1",0.1,0.074,0.184,0.012,0.002,0.0117067501895274,0.0173288199251998,0.00486949689393062,0.00199799899899875
"2",0.2,0.172,0.502,0.134,0.064,0.0168769665520792,0.0223605008888441,0.0152344346793703,0.0109456840809517
"3",0.3,0.342,0.418,0.262,0.204,0.0212149004239945,0.0220579237463547,0.0196649942791754,0.0180213207063189
"4",0.4,0.554,0.376,0.456,0.41,0.0222298897883008,0.0216621328589777,0.0222739309507774,0.0219954540757858
"5",0.5,0.702,0.52,0.594,0.582,0.0204546327270865,0.0223427840700303,0.0219619671250095,0.0220579237463547
