"","intensity","Subbel","ABtest","MaxP","Sobel","Subbel.1","ABtest.1","MaxP.1","Sobel.1"
"1",0.1,0.086,0.294,0.054,0.002,0.0125382614424808,0.0203746901816936,0.0101078187557949,0.00199799899899875
"2",0.2,0.268,0.628,0.2,0.108,0.0198078772209442,0.0216155499583055,0.0178885438199983,0.0138806339912844
"3",0.3,0.446,0.486,0.342,0.29,0.0222298897883008,0.0223519126698366,0.0212149004239945,0.0202928558857545
"4",0.4,0.682,0.532,0.594,0.562,0.0208267136149706,0.0223148381127894,0.0219619671250095,0.0221881049213312
"5",0.5,0.81,0.688,0.724,0.712,0.0175442298206561,0.02071984555927,0.0199911980631477,0.0202512221853398
