"","intensity","Subbel","ABtest","MaxP","Sobel","Subbel.1","ABtest.1","MaxP.1","Sobel.1"
"1",0.1,0.078,0.12,0.012,0.002,0.0119929979571415,0.014532721699668,0.00486949689393062,0.00199799899899875
"2",0.2,0.106,0.324,0.068,0.012,0.0137669168661687,0.020929596269398,0.0112584190719657,0.00486949689393062
"3",0.3,0.226,0.288,0.164,0.086,0.0187042241218394,0.0202512221853398,0.0165592270351004,0.0125382614424808
"4",0.4,0.406,0.242,0.292,0.232,0.0219619671250095,0.0191539029965174,0.0203340109176719,0.0188772879408034
"5",0.5,0.532,0.324,0.42,0.386,0.0223148381127894,0.020929596269398,0.0220726074581142,0.0217717247823869
