"","intensity","Subbel","ABtest","MaxP","Sobel","Subbel.1","ABtest.1","MaxP.1","Sobel.1"
"1",0.1,0.076,0.404,0.064,0.008,0.0118510759005248,0.0219446576642243,0.0109456840809517,0.0039839678713564
"2",0.2,0.288,0.674,0.216,0.136,0.0202512221853398,0.0209630150503214,0.0184034779321736,0.0153299706457645
"3",0.3,0.55,0.602,0.472,0.446,0.022248595461287,0.0218904545407353,0.0223255906976725,0.0222298897883008
"4",0.4,0.768,0.628,0.684,0.674,0.0188772879408034,0.0216155499583055,0.020791536739741,0.0209630150503214
"5",0.5,0.894,0.846,0.862,0.854,0.0137669168661687,0.016142118820031,0.01542439626047,0.015791390059143
